Phase,Question_ID,Category,Question,Genie_Capability,Level_1,Level_2,Level_3,Level_4,Level_5,Level_1_Criteria,Level_2_Criteria,Level_3_Criteria,Level_4_Criteria,Level_5_Criteria,Current_Score (1-5),Evidence,Notes,Priority (Critical/High/Medium/Low),Other_AI_Tools_Used,Example_Prompt,Evidence_Required,Evidence_Notes,Gap_Description
6. Monitoring & Operations,MO-3,Operational Troubleshooting,How effectively is Genie Code used to troubleshoot operational issues and generate diagnostic queries?,Diagnostic queries | root cause analysis | log analysis | performance troubleshooting,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness troubleshooting; ad-hoc diagnostic queries","Basic diagnostic query generation May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Systematic diagnostic procedures and runbooks,Auto-remediation for common issues,Self-optimizing pipelines based on operational patterns,,,,Medium,,"""Help troubleshoot why the nightly claims batch job is failing with payment API timeouts""","Troubleshooting runbooks, diagnostic queries, incident reports",,
6. Monitoring & Operations,MO-4,MCP Performance,How is your team optimizing MCP performance for large-scale and high-frequency Genie Code interactions?,Connection pooling | request batching | cache optimization | latency reduction,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No MCP optimization OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; default settings","Basic connection settings adjusted May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Optimized connection pooling and caching,Sub-second MCP response times at scale,Sub-100ms MCP at enterprise scale with intelligent caching,,,,High,,"""Optimize MCP for 500+ claims adjusters and underwriters using Genie Code concurrently""","Performance metrics, caching configs, optimization documentation",,
7. Governance,GOV-1,Data Governance,"How is Genie Code being used to implement data governance policies (tagging, classification, PII identification)?",Generate tagging queries | PII classification | data lineage documentation | policy enforcement,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No data governance automation (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual tagging","Using Genie Code for basic column tagging May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Automated tagging, PII classification, lineage documentation","Automated policy enforcement, compliance reporting",Self-governing data platform with AI-driven policy adaptation,,,,High,,"""Tag all PII columns in the claims and policy_holders schemas for HIPAA compliance""","Tagging queries, PII classification reports, policy documentation",,
8. AI Governance,AIG-1,Model Governance,How effectively does your team use Genie Code to document and govern AI model metadata and lineage?,Model metadata capture | ML lineage tracking | experiment documentation | registry integration,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No model governance (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual documentation","Basic model metadata documentation May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","ML lineage tracking, experiment documentation","Comprehensive ML governance: A/B testing, model monitoring",Autonomous ML governance with continuous monitoring,,,,Critical,,"""Document lineage for the fraud detection ML model used in claims scoring""","Model registry entries, ML lineage diagrams, experiment documentation",,
8. AI Governance,AIG-2,Prompt Engineering Standards,To what extent has your organization established prompt engineering standards and best practices for Genie Code?,Prompt templates | guardrails | validation patterns | quality standards,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No prompt standards OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; inconsistent Genie Code usage","Informal prompt guidelines May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Documented prompt standards and quality guidelines,"Advanced prompt patterns: chain-of-thought, few-shot learning",AI-optimized prompt engineering with automatic refinement,,,,High,,"""Create prompt template for SQL generation with guardrails for claims data access""","Prompt templates, quality guidelines, validation patterns",,
8. AI Governance,AIG-3,Responsible AI Practices,How is Genie Code being used to enforce responsible AI practices and bias detection in data pipelines?,Bias detection queries | fairness metrics | explainability analysis | audit trails,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No bias detection (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual reviews only","Basic data profiling for bias indicators May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Bias detection queries and fairness metrics,Explainability analysis and audit trails,Proactive bias prevention with continuous fairness monitoring,,,,Critical,,"""Detect potential bias in claim approval model based on demographics and geography""","Bias detection queries, fairness reports, audit trails",,
8. AI Governance,AIG-4,MCP Governance,How is MCP being used to manage custom context and provide domain-specific knowledge to Genie Code?,Context caching | knowledge base integration | RAG patterns | vector embeddings,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No custom context management OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; generic prompts","Basic prompt templates as custom context May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Sophisticated context management with knowledge bases,AI-enhanced context with RAG and vector search,Predictive context injection based on intent understanding,,,,Critical,,"""Add our claims underwriting guidelines and fraud rules as MCP context""","Context files, knowledge base configs, RAG implementation",,
8. AI Governance,AIG-5,MCP Governance,"What enterprise MCP patterns has your team established for governance, security, and scalability?",Enterprise architecture | security patterns | audit logging | governance frameworks,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No enterprise MCP patterns OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; ad-hoc usage","Initial security configurations May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Governance framework for MCP tool development,"Enterprise security: SSO, audit logs, role-based access",Self-securing MCP with threat detection and auto-remediation,,,,Critical,,"""Implement audit logging for all MCP tool invocations for regulatory compliance""","Security policies, audit logs, governance frameworks, access controls",,
9. Semantic Layer,SL-1,Semantic Model Creation,How effectively is your team using Genie Code to build and maintain semantic layer models?,Generate semantic models | business-friendly abstractions | metric definitions,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No semantic layer OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; direct table queries","Basic semantic views over tables May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Well-defined semantic models with business-friendly abstractions,Dynamic semantic models that adapt to schema changes,Self-evolving semantic layer that learns from usage patterns,,,,Medium,,"""Create semantic model for claims KPIs: loss ratio, claim frequency, average severity""","Semantic model definitions, business glossary, metric catalog",,
9. Semantic Layer,SL-2,SQL Generation,To what extent does Genie Code generate SQL queries from semantic layer definitions?,SQL generation from semantic definitions | query translation | natural language to SQL,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness SQL writing; no semantic translation","Simple SQL translation from metric names May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Reliable SQL generation from semantic definitions,Advanced SQL optimization from semantic queries,Natural language to SQL with context understanding,,,,Medium,,"""Generate SQL from: Show me total claim payouts by state and policy type for Q4""","SQL generation examples, query translation logs",,
9. Semantic Layer,SL-3,Metric Governance,How is Genie Code being used to govern and document business metrics in the semantic layer?,Metric governance | documentation | version control | consistency validation,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No metric governance OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; inconsistent definitions","Basic metric definitions in documentation May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Documented metrics with governance and version control,Automated metric validation and consistency checks,Self-governing metrics with automatic conflict resolution,,,,High,,"""Document the definition of incurred_but_not_reported (IBNR) claims metric""","Metric documentation, governance policies, version control",,
9. Semantic Layer,SL-4,Reusable Views,How effectively does your team use Genie Code to create reusable metric views and abstractions?,Reusable metric views | calculated measures | hierarchies | aggregation patterns,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No reusable views OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; queries duplicated across reports","Few reusable views for common metrics May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Library of reusable metric views and hierarchies,Context-aware metric recommendations,AI-recommended metrics based on analysis patterns,,,,High,,"""Create reusable view for claim settlement time and loss adjustment expense ratio""","Reusable view definitions, metric hierarchies, usage documentation",,
10. BI Enablement,BI-1,BI Query Generation,"How is Genie Code currently being used to generate SQL queries for BI tools (Power BI, Tableau, Looker)?",Generate BI-optimized SQL | aggregate queries | pre-joined views | denormalized tables,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness SQL for BI tools; no Genie Code assistance","Using Genie Code for simple aggregation queries May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",BI-optimized queries and pre-joined views regularly generated,Intelligent BI model generation with automatic aggregation detection,Autonomous BI optimization with self-tuning models,,,,High,,"""Generate optimized SQL for Power BI dashboard showing claims by adjuster and status""","BI query examples, optimized view definitions, dashboard documentation",,
10. BI Enablement,BI-2,Dashboard Models,To what extent does your team leverage Genie Code to create optimized data models for dashboard consumption?,Star schema models | aggregate tables | materialized views | incremental refresh logic,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Direct table queries; no optimized BI models,"Basic pre-aggregated tables May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Star schema models with aggregate tables,Dynamic materialized views with incremental refresh,Predictive pre-aggregation based on query patterns,,,,High,,"""Create aggregate table for Tableau dashboard with daily claims summary by product line""","Star schema models, aggregate table definitions, refresh schedules",,
10. BI Enablement,BI-3,Query Optimization,How is Genie Code being used to optimize and troubleshoot slow BI queries?,Query optimization | execution plan analysis | index recommendations | query rewriting,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Reactive query optimization (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual rewrites","Basic index suggestions May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Regular query optimization using Genie Code,Predictive query optimization,Self-optimizing queries with continuous learning,,,,Medium,,"""Optimize this slow dashboard query showing monthly claim trends by coverage type""","Query optimization examples, execution plans, performance improvements",,
11. Complex Use Cases,COMPLEX-1,Large-Scale Transformations,"How effectively does your team use Genie Code for large-scale transformations (billions of rows, complex aggregations)?",Optimize for billions of rows | partition pruning | predicate pushdown | Z-ordering,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Performance issues with large datasets (using manual processes or generic AI tools like ChatGPT, Copilot without Databricks context);  manual optimization","Basic partitioning strategies; some optimization attempts May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Optimized for billions of rows with partition pruning and Z-ordering,Auto-optimization for trillion-row datasets with liquid clustering,Autonomous optimization for exabyte-scale data lakehouse,,,,High,,"""Optimize this transformation processing 50 million daily claims transactions across all lines of business""","Performance benchmarks, optimization techniques, partition strategies",,
11. Complex Use Cases,COMPLEX-2,Advanced Architectures,"How effectively does your team use Genie Code to design and implement advanced data architectures (multi-tenant, data mesh, domain-oriented)?","Advanced architectural pattern generation for multi-tenant systems, data mesh, and domain-oriented designs",❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No multi-tenant architecture OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; single-tenant designs","Basic tenant filtering in queries May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Regular use of Genie Code for multi-tenant and data mesh architecture design,"Advanced patterns: domain-oriented designs, federated governance, data product thinking","Leading architectures: fully autonomous domain teams, self-serve data infrastructure",,,,High,,Design a multi-tenant claims data architecture supporting 50+ insurance carriers with data mesh principles and domain-oriented ownership,"Multi-tenant architecture diagrams, security configs, resource governance",,
11. Complex Use Cases,COMPLEX-3,Real-Time Analytics,How is Genie Code utilized for real-time analytics use cases requiring sub-second latencies?,Streaming analytics | event processing | micro-batch | continuous aggregations,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,Batch processing only; no real-time capabilities,"Micro-batch processing; 5-15 minute latencies May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Streaming analytics with 1-5 minute latencies,Real-time analytics with sub-second latencies,Continuous real-time analytics with predictive pre-aggregation,,,,Critical,,"""Create real-time fraud detection dashboard with sub-second latency for suspicious claims""","Streaming analytics code, latency measurements, real-time dashboards",,
11. Complex Use Cases,COMPLEX-4,ML Feature Engineering,How effectively does your team use Genie Code to accelerate ML feature engineering and feature store creation?,Feature engineering pipelines | feature store integration | temporal features | feature monitoring,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness feature engineering; no automation","Basic feature extraction queries May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Automated feature engineering pipelines,ML feature stores with automated feature monitoring,Self-evolving ML features with automated monitoring,,,,High,,"""Generate features for claim fraud prediction model: claim velocity, amount patterns, provider history""","Feature engineering pipelines, feature store integrations, monitoring",,
